World Rank,Location,Institution,Handle,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Performance,Score
8,USA,University of Pennsylvania,Penn,6,14,9,43,12,91.6
72,USA,University of Pittsburgh,PittTweet,40,250,236,259,32,83.2
800,USA,University of Rhode Island,universityofri,188,-,523,-,785,71.6
1858,USA,University of Richmond,urichmond,338,-,-,-,1777,66.3
75,USA,University of Rochester,UofR,43,68,74,118,145,83
1889,USA,University of San Diego,uofsandiego,341,-,460,-,1919,66.2
1457,USA,University of San Francisco,usfca,288,-,134,-,1913,67.9
1312,USA,University of South Alabama,UofSouthAlabama,268,-,-,-,1248,68.6
327,USA,University of South Carolina - Columbia,UofSC,107,-,531,-,296,76.3
1429,USA,University of South Dakota,usd,285,291,-,-,1385,68.1
291,USA,University of South Florida,USouthFlorida,96,-,760,-,240,76.9
51,USA,University of Southern California,usc,30,307,124,27,69,84.6
1320,USA,University of Southern Mississippi,SouthernMiss,269,-,-,-,1259,68.6
481,USA,University of Tennessee Health Science Center,uthsc,136,-,-,-,450,74.4
249,USA,"University of Tennessee, Knoxville",UTKnoxville,85,421,408,-,205,77.7
566,USA,University of Texas at Arlington,utarlington,154,-,927,-,530,73.5
33,USA,University of Texas at Austin,UTaustin,21,79,65,15,55,86.3
392,USA,University of Texas at Dallas,UT_Dallas,116,362,545,-,379,75.4
1024,USA,University of Texas at El Paso,UTEP,226,-,1015,-,983,70.1
653,USA,University of Texas at San Antonio,UTSA,166,-,-,-,622,72.7
231,USA,University of Texas Health Science Center at Houston,UTHealth,81,-,-,149,249,78
426,USA,University of Texas Health Science Center at San Antonio,uthealthsa,122,-,-,-,403,75
99,USA,University of Texas MD Anderson Cancer Center,mdandersonnews,51,-,-,84,88,81.8
641,USA,University of Texas Medical Branch,utmbhealth,164,-,-,-,610,72.8
916,USA,University of Texas Rio Grande Valley,utrgv,209,-,-,-,871,70.8
53,USA,University of Texas Southwestern Medical Center,UTSWNews,32,28,-,25,149,84.4
1932,USA,University of the Pacific,UOPacific,347,-,800,-,1876,66
801,USA,University of Toledo,UToledo,189,-,-,-,758,71.6
1466,USA,University of Tulsa,utulsa,289,-,202,-,1709,67.9
109,USA,University of Utah,uutah,53,252,190,129,106,81.4
446,USA,University of Vermont,uvmvermont,127,-,488,-,427,74.8
64,USA,University of Virginia,uva,38,262,33,184,125,83.6
23,USA,University of Washington - Seattle,UW,18,60,216,23,9,87.7
26,USA,University of Wisconsin–Madison,UWMadison,20,34,93,34,31,87.2
565,USA,University of Wisconsin–Milwaukee,UWMadison,153,283,451,-,545,73.5
633,USA,University of Wyoming,UWyonews,162,-,684,-,609,72.9
605,USA,Utah State University,USUAggies,159,351,846,-,576,73.1
1531,USA,Utah Valley University,UVU,298,-,-,-,1454,67.6
52,USA,Vanderbilt University,vanderbiltu,31,370,88,59,64,84.5
1004,USA,Villanova University,VillanovaU,224,413,132,-,1192,70.3
247,USA,Virginia Commonwealth University,VCU,84,-,1000,111,291,77.7
273,USA,Virginia Tech,virginia_tech,91,475,321,-,236,77.2
222,USA,Wake Forest University,WakeForest,79,-,70,-,278,78.2
1580,USA,Washington and Lee University,wluLex,304,91,156,-,-,67.4
308,USA,Washington State University,WSUPullman,104,-,874,183,318,76.6
46,USA,Washington University in St. Louis,wustl,27,115,186,32,44,85
292,USA,Wayne State University,waynestate,97,497,317,-,260,76.9
1686,USA,Wellesley College,Wellesley,320,-,630,-,1648,67
786,USA,Wesleyan University,wesleyan_u,186,-,52,-,1483,71.7
503,USA,West Virginia University,WestVirginiaU,142,-,348,-,494,74.1
1922,USA,Western Kentucky University,wku,346,-,-,-,1845,66.1
1354,USA,Western Michigan University,WesternMichU,272,-,-,-,1291,68.4
1572,USA,Western Washington University,WWU,303,-,1113,-,1494,67.4
1894,USA,Wichita State University,WichitaState,342,-,925,-,1836,66.2
1355,USA,Williams College,WilliamsCollege,273,152,169,-,1816,68.4
1069,USA,Worcester Polytechnic Institute,WPI,233,-,184,-,1201,69.9
1130,USA,Wright State University,wrightstate,246,-,-,-,1073,69.5
1826,USA,Xavier University,XavierU,333,-,115,-,-,66.4
10,USA,Yale University,Yale,8,5,35,11,20,90.7
197,USA,Yeshiva University,yunews,71,86,-,178,230,78.8
